Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.73     0.00        9     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor> > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.00      2.73     0.00        9     0.00     0.00  std::_Sp_counted_ptr_inplace<mlx::model_storage::Arena::Pin::Held, std::allocator<mlx::model_storage::Arena::Pin::Held>, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      2.73     0.00        9     0.00     0.00  std::_Sp_counted_ptr_inplace<mlx::model_storage::Arena::Pin::Held, std::allocator<mlx::model_storage::Arena::Pin::Held>, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
  0.00      2.73     0.00        9     0.00     0.00  void std::vector<mlx::model_io::Region, std::allocator<mlx::model_io::Region> >::_M_realloc_insert<mlx::model_io::Region>(__gnu_cxx::__normal_iterator<mlx::model_io::Region*, std::vector<mlx::model_io::Region, std::allocator<mlx::model_io::Region> > >, mlx::model_io::Region&&)
  0.00      2.73     0.00        9     0.00     0.00  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, mlx::tensor_model::Tensor> > >::_M_get_insert_unique_pos(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      2.73     0.00        8     0.00     0.00  mlx::control_schedule::(anonymous namespace)::check(bool, char const*)
  0.00      2.73     0.00        8     0.00     0.00  mlx::tensor_model::Tensor::integer(unsigned long) const
  0.00      2.73     0.00        7     0.00     0.00  mlx::tensor_model::Tensor::allocate(mlx::tensor_model::DType, std::vector<long, std::allocator<long> >)
  0.00      2.73     0.00        7     0.00     0.00  std::_Sp_counted_ptr_inplace<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > >, (__gnu_cxx::_Lock_policy)2>::_M_destroy()
  0.00      2.73     0.00        7     0.00     0.00  std::_Sp_counted_ptr_inplace<std::vector<unsigned char, std::allocator<unsigned char> >, std::allocator<std::vector<unsigned char, std::allocator<unsigned char> > >, (__gnu_cxx::_Lock_policy)2>::_M_dispose()
